规范番号,原始番号,系列,候选来源,标题,发行日期,文章日期,表格位置,AsiaMonstr详情页地址,官方证据地址,历史记录位置,访问结果,核查时间,分类,判断理由,建议处理
GOMK-60,GOMK-60,GOMK,asiamonstr; gap,GOMK-60 Female Combatant Bolero 2,,"August 10, 2013",,https://www.asiamonstr.com/giga/gomk-60-female-combatant-bolero-2-mio-mikuru-miina-kuboduka-eri-makino-chisa-hiruma-ayano-kamiya.html,https://www.giga-web.jp/db_titles/gomk/gomk60/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:00+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-61,GOMK-61,GOMK,asiamonstr; gap,GOMK-61 Tied Up Heroine Ninja Closer NO.3 Flower Shadow,,"September 4, 2013",,https://www.asiamonstr.com/giga/gomk-61-tied-up-heroine-ninja-closer-no-3-flower-shadow-yu-kawakami-azusa-kirihara.html,https://www.giga-web.jp/db_titles/gomk/gomk61/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-65,GOMK-65,GOMK,asiamonstr; gap,GOMK-65 III first rare ESP girl Misa Noah,,"September 1, 2013",,https://www.asiamonstr.com/giga/gomk-65-iii-first-rare-esp-girl-misa-noah.html,https://www.giga-web.jp/db_titles/gomk/gomk65/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-73,GOMK-73,GOMK,asiamonstr; gap,GOMK-73 Rape Hunter Development Project File 5,,"September 16, 2013",,https://www.asiamonstr.com/giga/gomk-73-rape-hunter-development-project-file-5-nana-usami-nozomi-haduki-chisa-hiruma.html,https://www.giga-web.jp/db_titles/gomk/gomk73/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:01+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-76,GOMK-76,GOMK,asiamonstr; gap,GOMK-76 Beautiful Witch Girl Fontane,,"September 18, 2013",,https://www.asiamonstr.com/giga/gomk-76-beautiful-witch-girl-fontane-saya-aika.html,https://www.giga-web.jp/db_titles/gomk/gomk76/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-78,GOMK-78,GOMK,asiamonstr; gap,GOMK-78 Beautiful Mask Aurora,,"October 8, 2013",,https://www.asiamonstr.com/giga/gomk-78-beautiful-mask-aurora-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gomk/gomk78/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-95,GOMK-95,GOMK,asiamonstr; gap,GOMK-95 Marvelous Mask the first part,,"November 4, 2013",,https://www.asiamonstr.com/giga/gomk-95-marvelous-mask-part-ai-ishihara.html,https://www.giga-web.jp/db_titles/gomk/gomk95/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:02+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-96,GOMK-96,GOMK,asiamonstr; gap,"GOMK-96 Monoclinous Heroine – Space Agent Androcross, An Mizuki, Mika Osaki",,"November 7, 2013",,https://www.asiamonstr.com/giga/gomk-96-monoclinous-heroine-space-agent-androcross-mizuki-mika-osaki.html,https://www.giga-web.jp/db_titles/gomk/gomk96/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:03+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GOMK-98,GOMK-98,GOMK,asiamonstr; gap,GOMK-98 Marvelous Mask,,"November 20, 2013",,https://www.asiamonstr.com/giga/gomk-98-marvelous-mask-ai-ishihara.html,https://www.giga-web.jp/db_titles/gomk/gomk98/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:03+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GPTM-22,GPTM-22,GPTM,asiamonstr; gap,GPTM-22 Giant Heroine Sophia,,"April 26, 2013",,https://www.asiamonstr.com/giga/gptm-22-giant-heroine-sophia.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GPTM-38,GPTM-38,GPTM,asiamonstr,GPTM-38 Saint Force after.3 -Broken Hope,,"November 22, 2019",,https://www.asiamonstr.com/giga/gptm-38-saint-force-after-3-broken-hope-reunion-of-holy-women-miho-tono-natsuki-misato-nonomiya.html,https://www.giga-web.jp/db_titles/gptm/gptm38/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:05+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GRET-26,GRET-26,GRET,asiamonstr; gap,GRET-26 Gigantic Heroine (R) Next Lady,,"October 4, 2016",,https://www.asiamonstr.com/giga/gret-26-gigantic-heroine-r-next-lady-mai-tamaki.html,https://www.giga-web.jp/db_titles/gret/gret26/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:05+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GRET-5,GRET-05,GRET,asiamonstr; gap,GRET-05 Giant Heroine Fire Woman,,"April 2, 2013",,https://www.asiamonstr.com/giga/gret-05-giant-heroine-fire-woman.html,https://www.giga-web.jp/db_titles/gret/gret05/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:05+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GRET-7,GRET-07,GRET,asiamonstr; gap,GRET-07 Super Cocky Heroine Completely Defeated Insult Princess Noa,,"February 7, 2013",,https://www.asiamonstr.com/giga/gret-07-super-cocky-heroine-alien-puppets.html,https://www.giga-web.jp/db_titles/gret/gret07/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSAD-3,GSAD-03,GSAD,asiamonstr; gap,GSAD-03 SUPER HEROINE Action Wars – Toki Force Sanseijer The Dangers Target,,"April 12, 2013",,https://www.asiamonstr.com/giga/gsad-03-super-heroine-action-wars-toki-force-sanseijer-the-dangers-target.html,https://www.giga-web.jp/db_titles/gsad/gsad03/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSHE-10,GSHE-10,GSHE,asiamonstr,GSHE-10 20th Anniversary Thanks to You! The History of GIGA,,"December 22, 2017",,https://www.asiamonstr.com/giga/gshe-10-20th-anniversary-thanks-to-you-the-history-of-giga-tokusatsu-pornography.html,https://www.giga-web.jp/db_titles/gshe/gshe10/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:06+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSHE-2,GSHE-02,GSHE,asiamonstr; gap,GSHE-02 Highlights of Heroines Fainting,,"November 7, 2017",,https://www.asiamonstr.com/giga/gshe-02-highlights-of-heroines-fainting.html,https://www.giga-web.jp/db_titles/gshe/gshe02/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSHE-3,GSHE-03,GSHE,asiamonstr; gap,GSHE-03 Top 20 User’s Choice 2013,,"August 23, 2014",,https://www.asiamonstr.com/giga/gshe-03-top-20-user-s-choice-2013.html,https://www.giga-web.jp/db_titles/gshe/gshe03/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSHE-4,GSHE-04,GSHE,asiamonstr; gap,GSHE-04 Highlights of the Sailor Fighters,,"November 8, 2017",,https://www.asiamonstr.com/giga/gshe-04-highlights-of-the-sailor-fighters.html,https://www.giga-web.jp/db_titles/gshe/gshe04/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:07+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GSHE-8,GSHE-08,GSHE,asiamonstr; gap,GSHE-08 Charge Mermaid Highlights,,"April 14, 2015",,https://www.asiamonstr.com/giga/gshe-08-charge-mermaid-highlights.html,https://www.giga-web.jp/db_titles/gshe/gshe08/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:08+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GTRL-1,GTRL-01,GTRL,asiamonstr,GTRL-01 New Star Unit Ryuseiger Suppression,,"April 13, 2013",,https://www.asiamonstr.com/giga/gtrl-01-star-unit-ryuseiger-suppression-hitomi-fujiwara.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GTRL-10,GTRL-10,GTRL,asiamonstr; gap,GTRL-10 Sailor Heroines Vol.01 Sailor Crysta and Voltes,,"February 14, 2015",,https://www.asiamonstr.com/giga/gtrl-10-sailor-heroines-vol-01-sailor-crysta-voltes-yurina-ayashiro-mizuki.html,https://www.giga-web.jp/db_titles/gtrl/gtrl10/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:10+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GTRL-2,GTRL-02,GTRL,asiamonstr,GTRL-02 New Star Unit Ryuseiger Lesbian insult Sumire,,"February 21, 2013",,https://www.asiamonstr.com/giga/gtrl-02-new-star-unit-ryuseiger-lesbian-insult.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GTRL-24,GTRL-24,GTRL,asiamonstr; gap,GTRL-24 JK Investigator Blu-sailor Striker 03,,"July 9, 2015",,https://www.asiamonstr.com/giga/gtrl-24-jk-investigator-blu-sailor-striker-03-yurina-ayashiro-mio-shiraishi.html,https://www.giga-web.jp/db_titles/gtrl/gtrl24/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:11+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GTRL-3,GTRL-03,GTRL,asiamonstr,GTRL-03 New Star Unit Ryuseiger Humiliation white insult,,"February 21, 2013",,https://www.asiamonstr.com/giga/gtrl-03-new-star-unit-ryuseiger-humiliation-white-insult.html,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,历史条目，状态待核实,外部或历史来源明确记载，但当前官方状态未获确认,仍需核实
GTRL-47,GTRL-47,GTRL,asiamonstr; gap,GTRL-47 Rape Hunter BEAST Vol.2 Beautiful Brave Woman,,"October 8, 2017",,https://www.asiamonstr.com/giga/gtrl-47-rape-hunter-beast-vol-2-beautiful-brave-woman-vehement-mask-grace-natsuko-mishima.html,https://www.giga-web.jp/db_titles/gtrl/gtrl47/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:13+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GTRL-52,GTRL-52,GTRL,asiamonstr; gap,GTRL-52 The Stallion Monster Trilogy Vol.1 -Bird Force Bird Swan Hana Misora,,"March 18, 2018",,https://www.asiamonstr.com/giga/gtrl-52-the-stallion-monster-trilogy-vol-1-bird-force-bird-swan-hana-misora.html,https://www.giga-web.jp/db_titles/gtrl/gtrl52/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:13+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-20,GVRD-20,GVRD,asiamonstr; gap,"GVRD-20 The Evil Empress Teaches Lesbianism to a Superheroine, Rei Ayana, Ai Ishihara",,"January 19, 2014",,https://www.asiamonstr.com/giga/gvrd-20-the-evil-empress-teaches-lesbianism-to-a-superheroine-rei-ayana-ai-ishihara.html,https://www.giga-web.jp/db_titles/gvrd/gvrd20/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-27,GVRD-27,GVRD,asiamonstr; gap,GVRD-27 Queen Mask,,"February 18, 2014",,https://www.asiamonstr.com/giga/gvrd-27-queen-mask-an-mizuki.html,https://www.giga-web.jp/db_titles/gvrd/gvrd27/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-32,GVRD-32,GVRD,asiamonstr; gap,"GVRD-32 Monoclinous Heroine – GaoMaru – The Wonder Man, An Mizuki",,"March 23, 2014",,https://www.asiamonstr.com/giga/gvrd-32-monoclinous-heroine-gaomaru-the-wonder-man-an-mizuki.html,https://www.giga-web.jp/db_titles/gvrd/gvrd32/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:14+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-33,GVRD-33,GVRD,asiamonstr; gap,GVRD-33 Heroine Showery Insult Sailor Dolphin,,"February 26, 2014",,https://www.asiamonstr.com/giga/gvrd-33-heroine-showery-insult-sailor-dolphin-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gvrd/gvrd33/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:15+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-37,GVRD-37,GVRD,asiamonstr; gap,GVRD-37 Merupure Tied Up Insult,,"March 15, 2014",,https://www.asiamonstr.com/giga/gvrd-37-merupure-tied-up-insult-momo-watanabe-ai-ishihara.html,https://www.giga-web.jp/db_titles/gvrd/gvrd37/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:15+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-44,GVRD-44,GVRD,asiamonstr; gap,GVRD-44 Sailor-Fighters Tentacle Monster Swallowing,,"March 17, 2014",,https://www.asiamonstr.com/giga/gvrd-44-sailor-fighters-tentacle-monster-swallowing-insult-from-the-inside-part-1-yurina-ayashiro-yui-fujishima.html,https://www.giga-web.jp/db_titles/gvrd/gvrd44/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:16+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-48,GVRD-48,GVRD,asiamonstr; gap,GVRD-48 Ame-Comi Heroine Double Rape,,"April 1, 2014",,https://www.asiamonstr.com/giga/gvrd-48-ame-comi-heroine-double-rape-minami-ayase-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gvrd/gvrd48/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:17+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-49,GVRD-49,GVRD,asiamonstr; gap,GVRD-49 Sailor-Fighters Tentacle Monster Swallowing,,"April 7, 2014",,https://www.asiamonstr.com/giga/gvrd-49-sailor-fighters-tentacle-monster-swallowing-insult-from-the-inside-part-2-yurina-ayashiro-yui-fujishima.html,https://www.giga-web.jp/db_titles/gvrd/gvrd49/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:20+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-58,GVRD-58,GVRD,asiamonstr; gap,GVRD-58 Heroine’s Monster Transformation Project,,"April 30, 2014",,https://www.asiamonstr.com/giga/gvrd-58-heroine-s-monster-transformation-project-chizuru-sakura.html,https://www.giga-web.jp/db_titles/gvrd/gvrd58/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:21+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-60,GVRD-60,GVRD,asiamonstr; gap,GVRD-60 Tied Up Heroine -Good Bye Super Woman Episode 2,,"April 28, 2014",,https://www.asiamonstr.com/giga/gvrd-60-tied-up-heroine-good-bye-super-woman-episode-2-karin-itsuki.html,https://www.giga-web.jp/db_titles/gvrd/gvrd60/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:21+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-69,GVRD-69,GVRD,asiamonstr; gap,"GVRD-69 Completely Clothed Heroine Insult – Battle of the Future, Yurina Ayashiro",,"July 23, 2014",,https://www.asiamonstr.com/giga/gvrd-69-completely-clothed-heroine-insult-battle-of-the-future-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gvrd/gvrd69/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:21+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GVRD-81,GVRD-81,GVRD,asiamonstr; gap,GVRD-81 Battle of Future – Bondage Rape,,"August 12, 2014",,https://www.asiamonstr.com/giga/gvrd-81-battle-of-future-bondage-rape-yurina-ayashiro.html,https://www.giga-web.jp/db_titles/gvrd/gvrd81/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:21+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GXXD-2,GXXD-02,GXXD,asiamonstr; gap,GXXD-02 Ninja Force High Ranger,,"May 23, 2015",,https://www.asiamonstr.com/giga/gxxd-02-ninja-force-high-ranger-rika-yuuki.html,https://www.giga-web.jp/db_titles/gxxd/gxxd02/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:22+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GXXD-4,GXXD-04,GXXD,asiamonstr; gap,"GXXD-04 Hermaphrodite Heroine – Galaxy Girl, Akira Ithinose",,"July 8, 2013",,https://www.asiamonstr.com/giga/gxxd-04-hermaphrodite-heroine-galaxy-girl-akira-ithinose.html,https://www.giga-web.jp/db_titles/gxxd/gxxd04/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:22+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
GXXD-58,GXXD-58,GXXD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
GXXD-79,GXXD-79,GXXD,asiamonstr; gap,GXXD-79 Heroine Awakening – Slutty Masked Heroine,,"February 22, 2013",,https://www.asiamonstr.com/giga/gxxd-79-heroine-awakening-slutty-masked-heroine.html,https://www.giga-web.jp/db_titles/gxxd/gxxd79/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:22+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JDSD-2,JDSD-2,JDSD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
JDSD-9,JDSD-9,JDSD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
JHHD-1,JHHD-1,JHHD,official,ヒロイン排泄地獄Vol.01,2007-10-12,,,,https://www.giga-web.jp/product/index.php?product_id=473,,confirmed,2026-09-12T17:52:16+08:00,确认漏收录,当前官方记录明确存在且线上目录未收录,可补录
JHHD-13,JHHD-13,JHHD,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
JHHD-2,JHHD-2,JHHD,official,ヒロイン排泄地獄Vol.02,2007-11-09,,,,https://www.giga-web.jp/product/index.php?product_id=467,,confirmed,2026-09-12T17:52:16+08:00,确认漏收录,当前官方记录明确存在且线上目录未收录,可补录
JHHD-3,JHHD-3,JHHD,official,ヒロイン排泄地獄Vol.03,2007-11-23,,,,https://www.giga-web.jp/product/index.php?product_id=461,,confirmed,2026-09-12T17:52:16+08:00,确认漏收录,当前官方记录明确存在且线上目录未收录,可补录
JMSZ-29,JMSZ-29,JMSZ,asiamonstr; gap,JMSZ-29 Targeted Super Heroine -Tragic Fate Awaited Shuriff Pink,,"December 2, 2015",,https://www.asiamonstr.com/giga/jmsz-29-targeted-super-heroine-tragic-fate-awaited-shuriff-pink-rina-utimura-hitomi-maisaka.html,https://www.giga-web.jp/db_titles/jmsz/jmsz29/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:23+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JMSZ-3,JMSZ-3,JMSZ,gap,,,,,,,,not_found_in_complete_directory,2026-09-12T17:52:16+08:00,无证据空号,仅由现有番号区间不连续产生，未找到存在记录,仍需核实
JMSZ-32,JMSZ-32,JMSZ,asiamonstr; gap,JMSZ-32 Princess Fighter Pure Blazer Angel Blazer,,"February 11, 2016",,https://www.asiamonstr.com/giga/jmsz-32-princess-fighter-pure-blazer-angel-blazer-harura-mori.html,https://www.giga-web.jp/db_titles/jmsz/jmsz32/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:23+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JMSZ-34,JMSZ-34,JMSZ,asiamonstr; gap,JMSZ-34 Justice Five Fallen Justice Pink,,"April 6, 2016",,https://www.asiamonstr.com/giga/jmsz-34-justice-five-fallen-justice-pink-harura-mori.html,https://www.giga-web.jp/db_titles/jmsz/jmsz34/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:23+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JMSZ-42,JMSZ-42,JMSZ,asiamonstr; gap,"JMSZ-42 Miori Hara, Hitomi Maisaka Holy Goddess Fighter Saint",,"August 25, 2016",,https://www.asiamonstr.com/giga/jmsz-42-miori-hara-hitomi-maisaka-holy-goddess-fighter-saint-cheer-childhood-friend-super-heroine.html,https://www.giga-web.jp/db_titles/jmsz/jmsz42/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:24+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JMSZ-50,JMSZ-50,JMSZ,asiamonstr; gap,JMSZ-50 The Sovereign Princess in Grave Danger,,"March 8, 2017",,https://www.asiamonstr.com/giga/jmsz-50-the-sovereign-princess-in-grave-danger.html,https://www.giga-web.jp/db_titles/jmsz/jmsz50/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:24+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
JMSZ-55,JMSZ-55,JMSZ,asiamonstr; gap,JMSZ-55 Beautiful Middle-Aged Fontaine -Spell of Stallion Mask-,,"June 11, 2017",,https://www.asiamonstr.com/giga/jmsz-55-beautiful-middle-aged-fontaine-spell-of-stallion-mask-natsuko-mishima.html,https://www.giga-web.jp/db_titles/jmsz/jmsz55/pac_s.jpg,,not_found_in_complete_directory; official_asset_head_200,2026-09-12T21:45:24+08:00,确认官方下架,完整官网目录扫描未收录；官网域名下对应历史封面仍返回图像，确认该作品曾有官方记录且现已从目录移除（未发现下架公告或原因）,有依据标下架
