"规范番号","系列","标题","AsiaMonstr文章日期","AsiaMonstr详情页","当前官网目录状态","官方资源HEAD地址","HTTP状态","Content-Type","Content-Length","历史记录位置","核查时间","确认结果","说明"
"GTRL-2","GTRL","GTRL-02 New Star Unit Ryuseiger Lesbian insult Sumire","February 21, 2013","https://www.asiamonstr.com/giga/gtrl-02-new-star-unit-ryuseiger-lesbian-insult.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gtrl/gtrl02/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:10+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"GTRL-3","GTRL","GTRL-03 New Star Unit Ryuseiger Humiliation white insult","February 21, 2013","https://www.asiamonstr.com/giga/gtrl-03-new-star-unit-ryuseiger-humiliation-white-insult.html","完整扫描未收录","https://www.giga-web.jp/db_titles/gtrl/gtrl03/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:12+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"SGKA-11","SGKA","SGKA-11 Hand Picked Scenes Over 200 Minutes Jav Film Sex","February 26, 2013","https://www.asiamonstr.com/giga/sgka-11-hand-picked-scenes-over-200-minutes-jav-film-sex.html","完整扫描未收录","https://www.giga-web.jp/db_titles/sgka/sgka11/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:29+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TBB-45","TBB","TBB-45 Super heroine","April 5, 2013","https://www.asiamonstr.com/giga/tbb-45-super-heroine-rino-kamiya.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tbb/tbb45/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:32+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TBW-30","TBW","TBW-30 Heroine Brainwash Vol.30 -Silfina, Sneaky Trap!","April 26, 2024","https://www.asiamonstr.com/giga/tbw-30-heroine-brainwash-vol-30-silfina-sneaky-trap.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tbw/tbw30/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:36+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TDLN-37","TDLN","TDLN-37 Hiroindomine-shon Vol.02","July 10, 2013","https://www.asiamonstr.com/giga/tdln-37-hiroindomine-shon-vol-02-arisa-hinata.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tdln/tdln37/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:39+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TDLN-41","TDLN","TDLN-41 Super Heroine Insult SP5","November 15, 2013","https://www.asiamonstr.com/giga/tdln-41-super-heroine-misasagikatajikena-sp5-mio-ando-arisa-hinata.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tdln/tdln41/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:40+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TGGP-40","TGGP","TGGP-40 Super Heroine","March 1, 2013","https://www.asiamonstr.com/giga/tggp-40-super-heroine-hitomi-fujiwara.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tggp/tggp40/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:44+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TGGP-8","TGGP","TGGP-08 Galaxy-Investigator Jasper","March 1, 2013","https://www.asiamonstr.com/giga/tggp-08-galaxy-investigator-jasper.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tggp/tggp08/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:46+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"THZ-41","THZ","THZ-41 Super heroine In Grave Danger Vol.41","April 16, 2013","https://www.asiamonstr.com/giga/thz-41-super-heroine-in-grave-danger-vol-41-emerald-knight.html","完整扫描未收录","https://www.giga-web.jp/db_titles/thz/thz41/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:52+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"THZ-5","THZ","THZ-05 Super-heroine desperation Vol.05","September 17, 2017","https://www.asiamonstr.com/giga/thz-05-super-heroine-desperation-vol-05-nymph-mask-dahlia-arisa-hinata.html","完整扫描未收录","https://www.giga-web.jp/db_titles/thz/thz05/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:53+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TRE-50","TRE","TRE-50 Security-Star","April 16, 2013","https://www.asiamonstr.com/giga/tre-50-security-star.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tre/tre50/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:45:58+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TRSH-50","TRSH","TRSH-50 Heroine Milking Torture","June 27, 2017","https://www.asiamonstr.com/giga/trsh-50-heroine-milking-torture.html","完整扫描未收录","https://www.giga-web.jp/db_titles/trsh/trsh50/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:46:02+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TRSH-60","TRSH","TRSH-60 Lethal Weapon Torture Hell","April 21, 2016","https://www.asiamonstr.com/giga/trsh-60-lethal-weapon-torture-hell.html","完整扫描未收录","https://www.giga-web.jp/db_titles/trsh/trsh60/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:46:04+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TSW-73","TSW","TSW-73 A huge masturbation","December 9, 2017","https://www.asiamonstr.com/giga/tsw-73-a-huge-masturbation-arisa-hinata.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tsw/tsw73/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:46:07+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
"TZZ-22","TZZ","TZZ-22 Freedom Fighter Phoenix, Hinata Arisa","June 17, 2013","https://www.asiamonstr.com/giga/tzz-22-freedom-fighter-phoenix-hinata-arisa.html","完整扫描未收录","https://www.giga-web.jp/db_titles/tzz/tzz22/pac_s.jpg","404","text/html; charset=iso-8859-1","","","2026-09-12T21:46:15+08:00","当前官网目录缺失，只有第三方历史线索","完整官网目录未收录；所测官网历史资源路径未命中，现阶段仅有 AsiaMonstr/项目历史线索。"
